연번,시도,시군구,시설유형,법인현황,시설명,시설 주소,전화번호,팩스번호,종사자정원,종사자 현원,엑스(X)좌표,와이(Y)좌표
15,서울,관악구,복지관,실로암시각장애인복지회,실로암시각장애인복지관,관악구 남부순환로1717,02-880-0500,02-887-1120,39,39,126.961856,37.47744079
16,서울,관악구,복지관,사회복지법인승가원,관악구장애인복지관,관악구 남부순환로1914,02-877-0750,02-877-0751,34,34,127.0979185,37.55053287
17,서울,광진구,복지관,사복)한국소아마비협회,정립회관,광진구 워커힐로93,02-446-1237,02-454-2144,46,48,126.8412046,37.50118025
18,서울,구로구,복지관,재)성프란치스꼬수녀회,성프란치스꼬장애인종합복지관,서울시 구로구 남부순환로 105라길 25-10,02-830-6500,02-830-1544,30,40,126.8905633,37.48180352
19,서울,구로구,복지관,사복)에덴복지재단,에덴장애인복지관,구로구 고척로21가길 84-35,02-2611-1711,02-2615-0212,29,33,126.8963316,37.46397165
20,서울,금천구,복지관,사복)상금복지회,금천장애인복지관,금천구 시흥대로101길 17,02-6912-8010,02-6912-8001,36,36,127.0564869,37.64207087
21,서울,노원구,복지관,사단법인 한국시각장애인연합회,노원시각장애인복지관,서울시 노원구 덕릉로 70가길 98 ,02-950-0114,02-934-8069,38,38,127.0565722,37.64249504
22,서울,노원구,복지관,한국뇌성마비복지회,뇌성마비복지관,노원구 덕릉로 70가길 96,02-932-4412,02-932-4413,42,42,127.0803063,37.61893979
23,서울,노원구,복지관,사복)다운회,다운복지관,노원구 화랑로 478,02-3296-2114,02-3296-2113,29,34,127.0569683,37.64253424
24,서울,노원구,복지관,사단법인 한국지체장애인협회,북부장애인복지관,노원구 덕릉로70가길 96,02-092-1700,02-951-7580,42,52,127.0576333,37.64281887
25,서울,노원구,복지관,대한민국상이군경회,상이군경복지관,서울특별시 노원구 덕릉로 70가길 73,02-935-6375,02-938-1252,27,27,127.0693375,37.65562526
26,서울,노원구,복지관,사회복지법인 성민,성민장애인복지관,노원구 노원로 32길 30-3,02-931-7970,02-931-7976,36,49,127.0476511,37.66942743
27,서울,도봉구,복지관,사회복지법인 한국장로교복지재단,도봉장애인복지관,도봉구 마들로 664-23,02-6952-1777,02-6952-1799,28,34,127.0340525,37.57181572
28,서울,동대문구,복지관,사복)동안복지재단,동대문장애인복지관,동대문구 청계천로521,02-927-0063,02-6919-1341,34,36,127.0731943,37.58314885
29,서울,동대문구,복지관,제칠일안식일예수재림교한국연합회유지재단,동문장애인복지관,동대문구 장안벚꽃로7길 5,02-2244-3100,02-2244-8833,29,29,126.9189173,37.49538355
30,서울,동작구,복지관,SRC,남부장애인복지관,동작구 여의대방로20나길 40,02-829-7100,02-829-7105,56,58,126.9189173,37.49538355
31,서울,동작구,복지관,사)한국지적발달장애인복지협회,발달장애인복지관,동작구 여의대방로20나길39,02-840-1500,02-840-1569,43,42,126.9466722,37.49919311
32,서울,동작구,복지관,사회복지법인 서울삼성원,삼성소리샘복지관,동작구 양녕로 30길 19-4,02-824-1414,02-826-5044,39,39,126.908442,37.56401883
33,서울,마포구,복지관,재단법인 마포복지재단,마포장애인복지관,마포구 성산로4길 35,02-306-6212,02-306-6215,32,40,126.913801,37.57069982
34,서울,서대문구,복지관,한국농아인협회,서대문농아인복지관,서대문구 수색로4가길 23,02-3156-6699,02-3156-6667,26,26,126.9570419,37.55947486
35,서울,서대문구,복지관,사)한국지체장애인협회,서대문장애인종합복지관,서대문구 북아현로 24,02-3140-3000,02-3140-3003,31,39,127.0239976,37.49983838
36,서울,서초구,복지관,사랑의복지재단,사랑의복지관,서초구 강남대로65길 19,02-540-6500,02-3482-5867,32,40,127.0250089,37.48205085
37,서울,서초구,복지관,서울가톨릭사회복지회,서초한우리정보문화센터,서울시 서초구 남부순환로 340길 15,02-2055-0909,02-2055-2727,38,47,127.0334391,37.57022486
38,서울,성동구,복지관,(재)성모성심수도회,성동장애인복지관,성동구 청계천로 506,02-2290-3100,02-2290-3181,37,38,127.0192309,37.59539109
39,서울,성북구,복지관,사복)승가원,성북장애인복지관,서울시 성북구 화랑로 130,02-915-9200,02-915-9207,34,34,127.0457249,37.60460036
40,서울,성북구,복지관,사회복지법인 대한맹인복지회,성북시각장애인복지관,성북구 동소문로25가길 20,02-923-4555,02-928-6565,30,30,127.1141865,37.51464964
41,서울,송파구,복지관,재단법인 기독교대한감리회유지재단,송파구방이복지관,송파구 백제고분로 37길 4,02-3432-0477,02-2202-0175,26,28,127.0940639,37.50611741
42,서울,송파구,복지관,사복)선한목자재단,서울시각장애인복지관,송파구 삼학사로 19길 27,02-422-8108,02-416-4093,27,27,127.1551768,37.49389162
43,서울,송파구,복지관,함께하는 복지,송파인성장애인종합복지관,송파구 마천로61길 26,02-431-8881,02-430-6228,27,25,126.8699093,37.51989333
44,서울,양천구,복지관,대한예수교장로회총회(합동측) 복지재단,양천해누리복지관,서울시양천구목동동로159,02-2061-2500,02-2061-2525,42,47,126.9129054,37.52085507
45,서울,영등포구,복지관,대한불교조계종사회복지재단,영등포장애인복지관,영등포구 버드나루로22,02-3667-7979,02-3667-0877,45,45,126.9615681,37.54730558
46,서울,용산구,복지관,영락사회복지재단,용산장애인복지관,용산구 효창원로93길 49,02-707-1970,02-707-1974,31,31,126.9063398,37.60564517
47,서울,은평구,복지관,사복)엔젤스헤이븐,서부장애인복지관,은평구 갈현로11길 30,02-351-3982,02-351-3987,40,40,126.9699696,37.58402442
48,서울,은평구,복지관,사복)굿피플우리복지재단,은평구립우리장애인복지관,은평구 녹번로 1길 13,02-6951-0301,02-6951-0302,37,37,127.0227859,37.56509143
49,서울,종로구,복지관,재단법인 푸르메,종로장애인복지관,종로구 자하문로89,02-6395-7070,02-6395-7080,36,36,127.0959208,37.60447238
50,서울,중구,복지관,사회복지법인 서울가톨릭사회복지회,서울특별시중구장애인복지관,중구 퇴계로 460,02-2235-8630,02-2235-1329,26,27,129.0235995,35.11067954
51,서울,중랑구,복지관,사회복지법인 유린보은동산,원광장애인복지관,서울시 중랑구 신내로56,02-438-2691,02-438-2695,38,43,129.0404211,35.13091679
52,부산,금정구,복지관,부산광역시금정구장애인협회,금정구장애인복지관,부산광역시 금정구 서부로 77(서동),051-523-0100,051-523-0024,29,29,129.0668621,35.07526852
53,부산,기장군,복지관,한성복지재단,기장장애인 복지관,부산시 기장군 정관읍 병산로 42-15,051-727-3088,051-727-3090,21,25,129.0658484,35.16404711
54,부산,남구,복지관,부산광역시 남구장애인협회,남구장애인복지관,부산광역시 남구 조각공원로11번길 38(대연동),051-626-6990,051-626-6992,21,31,129.100376,35.19703517
55,부산,남구,복지관,사회복지법인 나사함복지재단,나사함발달장애인복지관,부산시 남구 못골번영로70(대연동),051-627-8521,051-623-8521,21,35,129.0992205,35.12923425
56,부산,동구,복지관,사회복지법인 행복한오늘,동구장애인복지관,부산광역시 동구 망양로 748,051-469-9756,0303-3261-0022,21,21,129.0890682,35.14133258
57,부산,동래구,복지관,한결재단,동래구장애인복지관,부산광역시 동래구 충렬대로 386(안락동),051-522-1650,051-522-1654,21,21,129.017554,35.26712211
58,부산,부산진구,복지관,주는사랑복지재단,부산진구장애인복지관,부산광역시 부산진구 전포대로 300번길 6,051-808-8190,051-808-8473,36,36,129.0100624,35.24445208
59,부산,북구,복지관,한국뇌성마비복지회부산울산경남지회,부산뇌병변복지관,부산시 북구 학사로 246,051-333-3888,051-333-0297,24,24,129.1219355,35.21086256
60,부산,북구,복지관,부산시각장애인복지연합회,부산광역시시각장애인복지관,부산광역시 북구 시랑로132번길 38,051-338-0017,051-341-1346,30,30,128.992995,35.08544264
61,부산,북구,복지관,부산광역시 북구장애인협회,북구장애인종합복지관,부산광역시 북구 금곡대로 616번길 145,051-362-7755,051-363-4477,21,21,129.0989667,35.21955549
62,부산,사상구,복지관,주는사랑복지재단,사상구장애인복지관,부산광역시 사상구 모라로192번길 21,051-302-5533,051-302-5524,26,25,129.1049605,35.15936053
63,부산,사하구,복지관,부산광역시 사하구장애인협회,사하구장애인종합복지관,부산광역시 사하구 사하로68번길 65(구평동),051-262-2461,051-261-1267,26,26,129.0009356,35.18490105
64,부산,서구,복지관,부산광역시 서구장애인협회,서구장애인복지관,부산광역시 서구 보수대로154번길 36(동대신동1가),051-242-3930,070-8915-3972,22,22,129.1735108,35.33642884
65,부산,수영구,복지관,청전,수영구장애인복지관,부산광역시 수영구 장대골로 75-14(광안동) ,051-717-0290,051-717-0292,21,22,129.0815454,35.19056184
66,부산,연제구,복지관,내원,부산광역시장애인종합복지관,부산광역시 연제구 중앙대로 1150번길 15,051-790-6100,051-868-3518,45,83,129.0079126,35.19507392
67,부산,영도구,복지관,대한예수교장로회총회 고려학원,영도구장애인복지관,부산광역시 영도구 함지로 79번길 6(동삼동),051-403-6060,051-403-6400,21,21,128.6067684,35.82604776
68,부산,해운대구,복지관,대한성공회유지재단,해운대구장애인복지관,부산광역시 해운대구 선수촌로 207번길 81(반여동),051-521-5200,051-522-5202,21,36,128.5254597,35.85354369
69,대구,달서구,복지관,대구시지체장애인협회,대구광역시달구벌종합복지관,대구광역시 달서구 달구벌대로291길 100(용산동),053-527-0223,053-527-0229,37,55,128.5254597,35.85354369
70,대구,달서구,복지관,대구광역시시각장애인연합회,대구시각장애인복지관,대구광역시 달서구 달구벌대로291길 100(용산동),053-526-9988,053-568-9001,23,21,128.5254597,35.85354369
71,대구,달서구,복지관,한국농아인협회,대구광역시청각언어장애인복지관,대구광역시 달서구 달구벌대로 291길 100(용산동),053-527-0350,053-527-0353,22,22,128.60274,35.90631284
72,대구,달성군,복지관,한국지체장애인협회 대구달성군지회,달성군장애인복지관,대구광역시 달성군 논공읍 논공로 242,053-616-0260,053-616-0263,29,32,128.4549298,35.72301157
73,대구,북구,복지관,상록뇌성마비복지회,상록뇌성마비복지관,대구광역시 북구 연암로42길 77 (산격동),053-382-0960,053-382-0963,20,20,126.6283301,37.45269798
74,대구,수성구,복지관,국제라이온스협회356-A(대구)지구,대구장애인종합복지관,대구광역시 수성구 파동로51길 26-17,053-763-1011,053-762-0040,35,35,126.6251883,37.48172861
75,인천,강화군,복지관,대한불교조계종사회복지재단,강화군장애인복지관,인천광역시 강화군 충렬사로 63,032-934-8464,032-934-8082,25,28,126.6903325,37.44625549
76,인천,계양구,복지관,노틀담수녀회,노틀담복지관,인천광역시 계양구 계양산로 35번길 12-37(계산2동 40번지),032-540-8904,032-541-7377,36,36,126.6560322,37.4381129
77,인천,남동구,복지관,사회복지법인 인천가톨릭사회복지회,남동장애인종합복지관,인천광역시 남동구 인주대로 898(만수동),032-472-4005,032-472-4005,39,47,126.6590707,37.41217953
78,인천,동구,복지관,한원복지재단,동구한마음종합복지관,인천광역시 동구 만석로 53,032-724-9501,032-724-9510,29,27,126.7370578,37.44789883
79,인천,미추홀구,복지관,사)인천광역시시각장애인복지연합회,인천광역시시각장애인복지관,인천광역시 미추홀구 한나루로 357번길 105-19,032-876-3500,032-876-6633,29,29,126.7462699,37.48304718
80,인천,미추홀구,복지관,대한성공회유지재단,미추홀장애인종합복지관,인천광역시 미추홀구 경원대로 714,032-426-1382,032-426-1386,28,27,126.7174602,37.54525159
81,인천,부평구,복지관,송암복지재단,부평장애인종합복지관,인천광역시 부평구 일신로 25,032-512-9200,032-512-9864,34,34,126.6710889,37.58341094
82,인천,서구,복지관,기독교대한감리회 사회복지재단,인천광역시서구장애인종합복지관,인천광역시 서구 드림로 284-8(백석동),032-569-1240,032-569-1243,28,28,126.4824915,37.73443235
83,인천,연수구,복지관,한울정신건강복지재단,인천장애인종합복지관,인천광역시 연수구 앵고개로 130,032-833-3051,032-833-3053,52,52,126.9262459,35.14579482
84,인천,중구,복지관,사회복지법인 미선,인천광역시중구 장애인종합복지관,인천광역시 중구 매소홀로 10 (신흥동3가),032-880-2400,032-891-0533,28,28,126.8991915,35.15336743
85,인천,중구,복지관,사회복지법인 미선,인천광역시중구 장애인종합복지관 영종분관,"인천광역시 중구 영종해안북로 1000-26, 2층(하늘문화센터 복지동) ",032-752-2433,032-752-2422,8,8,126.8999908,35.14126
86,광주,동구,복지관,은성복지회,동구장애인복지관,백서로 198번길 7(서석동),062-229-9700,062-229-9704,35,35,126.9125768,35.14461846
87,광주,서구,복지관,세석밀알,광주광역시서구장애인복지관,광주광역시 서구 상무대로 1032,062-710-3020,062-710-3024,25,24,126.8679771,35.18516043
88,광주,남구,복지관,다솜복지회,광주광역시남구장애인복지관,광주광역시 남구 월산로 33,062-611-1900,062-361-7711,34,25,126.8846743,35.17568837
89,광주,남구,복지관,광주광역시시각장애인연합회,광주광역시시각장애인복지관,광주광역시 남구 천변좌로 382번길 6,062-415-9500,062-652-2411,25,25,126.8106115,35.1608961
90,광주,북구,복지관,광주광역시장애인종합지원센터,광주광역시장애인종합복지관,광주광역시 북구 북문대로219,062-513-0977,062-513-4700,41,79,127.4243365,36.33549876
91,광주,북구,복지관,무지개공동회,엠마우스복지관,광주광역시 북구 북문대로 20번길 38,062-524-7701,062-526-2799,39,39,127.4723318,36.26806207
92,광주,광산구,복지관,광산구청,광산구장애인복지관,광주광역시 광산구 무진대로 276,062-943-0420,062-943-0728,25,25,127.4331199,36.32700576
93,대전,동구,복지관,사회복지법인 밀알,밀알복지관,대전광역시 동구 우암로 48 (삼성동),042-627-0900,042-627-0950,39,39,127.382647,36.30380138
94,대전,동구,복지관,한국지체장애인협회,동구아름다운복지관,대전광역시 동구 안골로 49 (구도동),042-282-9600,042-282-9602,31,33,127.3451886,36.30531492
95,대전,동구,복지관,한국농아인협회,대전광역시립손소리복지관,대전광역시 동구 대전천동로508(원동85-5),042-345-9900,042-345-9909,23,23,127.3233647,36.38141214
96,대전,중구,복지관,대전광역시시각장애인연합회,대전광역시립산성종합복지관,대전광역시 중구 유등천동로 232(산성동),042-586-8033,042-586-8037,39,39,127.3209554,36.32120428
97,대전,서구,복지관,사회복지법인 기독교연합봉사회,행복한우리복지관,대전광역시 서구 계백로 1093-32,042-331-1155,042-331-1154,51,51,127.4220259,36.38751678
98,대전,유성구,복지관,한국지체장애인협회,유성구장애인종합복지관,대전광역시 유성구 북유성대로 166,042-820-3637,042-820-3635,46,59,129.3219815,35.57702556
99,대전,유성구,복지관,사회복지법인성재원,대전광역시립장애인종합복지관,대전광역시 유성구 유성대로 298번길 175용계동),042-540-3500,042-540-3599,32,32,129.3183478,35.53910234
100,대전,대덕구,복지관,대전가톨릭사회복지회,대덕구장애인종합복지관,대전광역시 대덕구 신탄진로 77 (연축동),042-637-8848,042-637-8852,26,26,129.4142012,35.53187731
101,울산,중구,복지관,로사리오카리타스,울산광역시장애인종합복지관,울산광역시 중구 백양로 160,052-242-1778,052-242-1781,48,66,129.12526,35.56125079
102,울산,남구,복지관,울산광역시시각장애인복지연합회,울산광역시시각장애인복지관,울산광역시 남구 돋질로 114번길 3(달동),052-256-5244,052-256-5247,24,30,127.2621125,36.50254489
103,울산,동구,복지관,사회복지법인 로사리오카리타스,울산광역시동구장애인복지관,울산광역시 동구 방어진순환도로 1273-1(서부동),052-710-5991,052-710-5990,22,22,126.9568075,37.26315813
104,울산,북구,복지관,어울림복지재단,울산광역시 북구 장애인복지관,울산광역시 북구 호계로 29-5(창평동),052-298-0420,052-298-0421,22,22,127.0360345,37.29557415
105,울산,울주군,복지관,울주군시설관리공단,울주군장애인복지관,울산광역시 울주군 삼남읍 중평1길 15,052-229-9440,052-229-9464,27,27,127.1441532,37.40822875
106,세종,세종시,복지관,세종충남가톨릭사회복지회,세종시장애인복지관,세종시장애인복지관 조치원읍 평안로 11(본관),044-865-3325,044-865-3326,33,33,127.1788771,37.44342735
107,세종,세종시,복지관,세종충남가톨릭사회복지회,세종시장애인복지관,"세종시 새롬로 14, 1층(분관)",044-865-3325,044-865-3326,,,126.920739,37.41262034
108,경기,수원시,복지관,수원중앙복지재단,수원시장애인종합복지관,경기도 수원시 영통구 창룡대로 255,031-207-1501,031-207-1504,50,48,126.9270073,37.38494261
109,경기,수원시,복지관,천주교수원교구사회복지회,호매실장애인종합복지관,경기도 수원시 권선구 호매실로 211(호매실동),031-893-2100,031-893-2179,53,53,127.0923024,37.74379849
110,경기,용인시,복지관,한국지체장애인협회,용인시처인장애인복지관,경기도 용인시 처인구 경안천로 318(고림동),031-320-4800,031-320-4899,48,48,126.8138148,37.51751481
111,경기,용인시,복지관,사회복지법인 양지바른,용인시기흥장애애인복지관,경기도 용인시 기흥구 용구대로2469번길 94(보정동),031-895-3200,031-895-3203,49,49,126.8466245,37.47892341
112,경기,용인시,복지관,사회복지법인 지구촌사회복지재단,용인시수지장애인복지관,"경기도 용인시 수지구 포은대로435, 3,4층(풍덕천동)",031-270-0200,031-270-0202,40,40,127.0785788,36.95153341
113,경기,고양시,복지관,홀트아동복지회,고양시장애인종합복지관,경기도 고양시 일산서구 탄현로 139,031-929-1400,031-929-1429,38,41,127.0664974,37.06564857
114,경기,성남시,복지관,한국지체장애인협회,성남시장애인종합복지관,경기도 성남시 중원구 사기막골로 150번길 20,031-733-3322,031-733-6166,44,42,127.0477688,37.90742207
115,경기,성남시,복지관,밀알복지재단,한마음복지관,경기도 성남시 분당구 야탑로 227,031-725-9500,031-725-9510,89,88,126.8457554,37.29889261
116,경기,화성시,복지관,사회복지법인 대한불교조계종,화성시아르딤복지관,경기도 화성시 향남읍 도이1길 104,031-5183-8900,031-5183-8995,40,51,126.8065957,37.32594211
117,경기,화성시,복지관,지구촌사회복지재단,화성시동탄아르딤복지관,경기도 화성시 동탄대로10길 17-12,031-8077-0800,031-8077-0808,43,46,126.7645743,37.703224
118,경기,부천시,복지관,사회복지법인 인천가톨릭사회복지회,부천시장애인종합복지관,경기도 부천시 역곡로 367,032-670-1100,032-681-0799,19,59,127.0021182,37.42880558
119,경기,남양주시,복지관,재단법인 대한성공회 유지재단,남양주시장애인복지관,경기도 남양주시 홍유릉로 273-1,031-592-7150,031-592-8150,37,36,127.1410311,37.59155439
120,경기,남양주시,복지관,사회복지법인 대한불교조계종사회복지재단,남양주시북부장애인복지관,경기도 남양주시 진접읍 경복대로 507-1,031-574-2668,031-527-6238,40,40,127.200168,37.62707415
121,경기,안산시,복지관,사회복지법인 밀알복지재단,안산시장애인복지관,경기도 안산시 단원구 원초로 80,031-403-0078,031-405-1092,49,49,127.0448401,37.17775508
122,경기,안산시,복지관,동산복지재단,안산시상록장애인복지관,경기도 안산시 차돌배기로 24-2,031-409-0000,031-409-2200,44,44,126.7410055,37.34766336
123,경기,평택시,복지관,에바다복지회,에바다장애인종합복지관,경기도 평택시 노와길 447,031-692-2362,031-692-2361,27,23,126.9332294,37.36258028
124,경기,평택시,복지관,평택복지재단,평택북부장애인복지관,"경기도 평택시 서정로 295,2층",031-615-3975,031-615-3998,30,30,126.9811462,37.34869314
125,경기,안양시,복지관,사단법인 성민원,안양시관악장애인종합복지관,경기도 안양시 만안구 경수대로 1132 (안양동),031-427-7774,031-472-7775,52,52,127.1881083,37.55973744
126,경기,안양시,복지관,사회복지법인 돕는사람들,안양시수리장애인종합복지관,경기도 안양시 만안구 냉천로 39 (안양동),031-465-0950,031-465-0960,65,65,127.2193294,37.25945517
127,경기,시흥시,복지관,사회복지법인 룸비니,시흥장애인종합복지관,경기도 시흥시 정왕대로 233번길 27-1,031-431-9114,031-431-9124,27,37,127.1058308,37.31542256
128,경기,김포시,복지관,사회복지법인 인천가톨릭사회복지회,김포시장애인복지관,경기도 김포시 김포한강3로 291,031-997-3646,031-996-5013,32,31,127.0977953,37.322273
129,경기,파주시,복지관,주내자육원,파주시장애인종합복지관,경기도 파주시 술이홀로1333번길 63,031-959-7020,031-959-7022,32,32,126.8754659,37.88424423
130,경기,의정부시,복지관,한국지체장애인협회,의정부시장애인종합복지관,경기도 의정부시 용민로 160(민락동),031-850-5320,031-853-8921,37,37,127.4410579,37.2782606
131,경기,광명시,복지관,(재)성모성심수도회,광명장애인종합복지관,경기도 광명시 목감로 120(광명동),02-2616-3700,02-2616-3368,36,42,127.2812614,37.00130439
132,경기,하남시,복지관,한국장로교복지재단,하남시장애인복지관,경기도 하남시 미사강변남로 56,031-794-2266,031-794-2261,49,49,126.6587207,37.64174662
133,경기,군포시,복지관, 사랑의손길,군포시장애인종합복지관,경기도 군포시 청백리길 18,031-396-3108,031-398-7432,38,46,126.9207471,37.13684465
134,경기,오산시,복지관,세교복지재단,오산장애인종합복지관,"경기도 오산시 수청로 192, 2층",031-290-8560,031-290-8589,23,23,127.1078034,37.1767223
135,경기,오산시,복지관,오산대학교 산학협력단,오산시하나울복지센터,경기도 오산시 서녘말길 21,031-8043-5909,031-8043-5869,20,18,127.0907194,37.80182091
136,경기,양주시,복지관,경기도시각장애인연합회,경기도시각장애인복지관,경기도 양주시 고삼로43번길 28 2층,031-856-5300,031-856-0300,26,26,127.6322743,37.2995342
137,경기,양주시,복지관,휴먼복지회,양주시장애인종합복지관,경기도 양주시 고삼로 43번길 29(삼숭동),031-928-4096,031-928-4140,27,39,127.5016428,37.83113084
138,경기,이천시,복지관,사회복지법인 승가원,이천시장애인종합복지관,경기도 이천시 석동로 3 (신둔면 지석리),031-637-6720,031-637-6725,46,41,127.5037881,37.49673119
139,경기,구리시,복지관,사회복지법인 휴먼복지회,구리시장애인종합사회복지관,경기도 구리시 이문안로 86-1,031-562-0068,031-562-0078,36,35,127.7275772,37.90845502
140,경기,안성시,복지관,한길복지재단,안성시장애인복지관,경기도 안성시 배티로 1097,031-673-0556,031-673-0559,23,21,127.7559861,37.84575132
141,경기,의왕시,복지관,대한불교조계종사회복지재단,희망나래장애인복지관,경기도 의왕시 오전로 27,031-467-7300,031-477-8511,41,41,127.9688589,37.31901189
142,경기,양평군,복지관,대한불교조계종사회복지재단,양평군장애인복지관,경기도 양평군 양평읍 중앙로111번길 36-1,031-773-9080,031-773-9093,35,35,128.8563723,37.81975782
143,경기,여주시,복지관,대한불교조계종 사회복지재단,여주시장애인복지관,경기도 여주시 청심로 105,031-883-2100,031-883-2130,35,30,128.9941715,37.092482
144,경기,동두천시,복지관,한국장로교복지재단,동두천시장애인종합복지관,경기도 동두천시 상패로 64,031-867-0080,031-867-0081,35,35,128.5803655,38.19762061
145,경기,과천시,복지관,푸르메재단,과천시장애인복지관,경기도 과천시 문원로 40,02-2185-8000,02-3418-3500,43,43,127.907477,37.71237692
146,경기,가평군,복지관,가평군복지재단,가평군장애인복지관,경기도 가평군 가평읍 석봉로 191번길 65-19,031-581-9785,031-581-9779,20,26,127.9826658,37.49427021
147,강원,춘천시,복지관,사회복지법인 기독교대한감리회 사회복지재단,강원특별자치도장애인종합복지관,강원특별자치도 춘천시 사우로 27,033-255-2491,033-255-2494,50,50,128.3948884,37.36876916
148,강원,춘천시,복지관,천주교춘천교구사회복지회,춘천시장애인종합복지관,강원특별자치도 춘천시 영서로 1925-21,033-262-0035,033-262-6341,38,37,127.4366333,38.23598966
149,강원,원주시,복지관,마가렛사회복지회,원주시장애인종합복지관,강원특별자치도 원주시 동부순환로 9-8,033-766-5990,033-766-5994,27,27,127.9211151,36.94978205
150,강원,원주시,복지관,사회복지법인 원주가톨릭사회복지회,양업토마스장애인종합복지관,강원특별자치도 원주시 개륜1길 59,033-744-1821,033-744-1823,27,27,127.4655305,36.66266513
151,강원,강릉시,복지관,(사)한국교통장애인협회,강릉시장애인종합복지관,강원특별자치도 강릉시 사천면 방동길 68,033-643-1801,033-643-1805,27,30,127.4630498,36.60412039
152,강원,태백시,복지관,홍이회,태백장애인종합복지관,강원특별자치도 태백시 금천길 179-9,033-582-7048,033-582-7047,25,20,127.4630498,36.60412039
153,강원,속초시,복지관,사회복지법인 기독교대한감리회 사회복지재단,강원특별자치도장애인종합복지관 속초분관,강원특별자치도 속초시 청초호반로 201 속초시근로자종합복지관 1층,033-636-2491,033-636-2493,7,7,128.2160855,37.1493406
154,강원,홍천군,복지관, 대한불교조계종 사회복지재단,홍천군장애인복지관,강원특별자치도 홍천군 홍천읍 태학여내길 80-7,033-435-7031,033-435-7043,24,25,127.7239238,36.48836064
155,강원,횡성군,복지관,횡성군사회복지협의회,횡성군장애인종합복지관,강원특별자치도 횡성군 횡성읍 한우로 223,033-345-7341,033-345-7338,20,22,127.5698949,36.30460136
156,강원,평창군,복지관,사회복지법인 기독교대한감리회 사회복지재단,강원특별자치도장애인종합복지관 평창분관,"강원특별자치도 평창군 평창읍 종부로61, 평창군사회복지센터 1층",033-333-4993,033-333-4994,8,8,127.7748654,36.16812993
157,강원,철원군,복지관,사회복지법인 기독교대한감리회 사회복지재단,강원특별자치도장애인종합복지관 철원분관,"강원특별자치도 철원군 서면 와수로 136번길 5, 서면복지회관 1층 ",033-458-8493,033-458-2488,5,5,127.5852469,36.77517819
158,충북,충주시,복지관,숭덕원,충청북도장애인종합복지관,충북 충주시 도장관주로 34-17,043-856-1100,043-856-1103,38,38,127.4361928,36.86313505
159,충북,청주시,복지관,천주교청주교구사회복지회,청주시장애인종합복지관,충북 청주시 흥덕구 무심서로 851,043-275-7411,043-275-7410,32,32,127.7978756,36.80810692
160,충북,청주시,복지관,천주교청주교구사회복지회,혜원장애인종합복지관,충북 청주시 서원구 남지로21번길 60,043-295-2505,043-295-2502,35,35,127.5960642,36.99825658
161,충북,제천시,복지관,대한불교조계종사회복지재단,제천장애인종합복지관,충북 제천시 의림대로242,043-652-0900,043-652-0904,23,23,128.3686492,36.98529553
