"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3200000","3200000-102-2001-07838","2001-03-03","","03","폐업","02","폐업","2025-04-28","","","","028899913","90.19","151-830","서울특별시 관악구 봉천동 971-14","서울특별시 관악구 봉천로 239, 지하1층 (봉천동)","08722","딸기 노래룸","2025-04-28 09:13:41","U","2024-12-03 21:00:00.0","룸살롱","193595.070903582","443043.550424396","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-102-1999-05994","1999-04-16","","03","폐업","02","폐업","2025-04-28","","","","02 9361658","364.58","139-832","서울특별시 노원구 상계동 728-1 지하1층","서울특별시 노원구 동일로 1396 (상계동,지하1층)","01751","뉴캐슬","2025-04-28 10:01:47","U","2024-12-03 21:00:00.0","룸살롱","205341.234473894","461208.986685934","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-102-2003-00003","2003-07-29","","03","폐업","02","폐업","2025-05-16","","","","02  585 1835","433.62","137-953","서울특별시 서초구 서초동 1600-3 (지하1층)","서울특별시 서초구 서초중앙로 53 (서초동,(지하1층))","06654","신세계노래팡","2025-05-16 14:20:47","U","2024-12-04 23:08:00.0","룸살롱","201254.930785077","442705.794493677","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-1987-00774","1987-01-28","","03","폐업","02","폐업","2025-05-07","","","","0236604000","1008.00","157-862","서울특별시 강서구 염창동 259-2 나이아가라호텔 지하 3층","서울특별시 강서구 양천로 743, 지하 3층 (염창동, 나이아가라호텔)","07539","마이히어로","2025-05-12 11:31:28","U","2024-12-04 23:04:00.0","룸살롱","189200.147733153","449654.951038959","","","","","","","","","","","","","","","","","","",""
"3130000","3130000-102-2025-00001","2025-05-02","","01","영업/정상","01","영업","","","","","","196.00","121-838","서울특별시 마포구 서교동 354-19 지하1층","서울특별시 마포구 양화로 124, 지하1층 (서교동)","04038","나인","2025-05-02 10:59:04","I","2024-12-05 00:04:00.0","룸살롱","192937.426138742","450226.210530626","","","","","","","","","","","","","","","","","","",""
"3140000","3140000-102-1999-06935","1999-06-07","","03","폐업","02","폐업","2025-05-08","","","","0226532991","105.33","158-050","서울특별시 양천구 목동 923 세신비젼프라자 3층 306~309호","서울특별시 양천구 목동서로 213, 세신비젼프라자 3층 306~309호 (목동)","07995","캉캉노래바","2025-05-08 16:07:20","U","2024-12-04 23:00:00.0","룸살롱","188494.598982992","447318.660520705","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2019-00010","2019-10-25","","03","폐업","02","폐업","2025-05-13","","","","","180.43","135-513","서울특별시 강남구 역삼동 702-24","서울특별시 강남구 선릉로93길 31, 지상1층 (역삼동)","06151","벤자민","2025-05-13 12:52:56","U","2024-12-04 23:05:00.0","룸살롱","204013.483967719","444693.000470748","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-102-2025-00001","2025-05-19","","01","영업/정상","01","영업","","","","","02  69587729","435.53","151-890","서울특별시 관악구 신림동 1421-29 에스케이허브그린","서울특별시 관악구 신림로 344, 에스케이허브그린 지하1층 2호 (신림동)","08754","뉴코노래타운 신림점","2025-05-19 13:07:15","I","2024-12-04 22:01:00.0","룸살롱","193735.829747067","442552.922888015","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2017-00001","2017-05-08","","01","영업/정상","01","영업","","","","","","504.13","135-918","서울특별시 강남구 역삼동 677-20 4,5층","서울특별시 강남구 테헤란로33길 6-7, 4,5층 (역삼동)","06142","하모니","2025-05-19 15:46:26","U","2024-12-04 22:01:00.0","룸살롱","203475.825","444490.505","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-102-2004-00002","2004-07-19","","01","영업/정상","01","영업","","","","","02 5851835","274.15","137-876","서울특별시 서초구 서초동 1588-1 지하1층","서울특별시 서초구 반포대로14길 54, 지하1층 (서초동)","06654","신세계","2025-05-16 15:16:12","U","2024-12-04 23:08:00.0","룸살롱","201153.543582527","442643.280772","","","","","","","","","","","","","","","","","","",""
"3090000","3090000-102-2025-00001","2025-05-14","","01","영업/정상","01","영업","","","","","","530.90","132-898","서울특별시 도봉구 창동 12-1","서울특별시 도봉구 노해로69길 21-11, 201호, 202호, 203호, 204호 (창동)","01414","산토끼노래타운","2025-05-14 17:08:57","I","2024-12-04 23:06:00.0","노래클럽","204348.91","461195.825","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-2006-00005","2006-05-29","","01","영업/정상","01","영업","","","","","02 4709799","97.05","134-871","서울특별시 강동구 천호동 550-7","서울특별시 강동구 진황도로 3 (천호동)","05334","제니아노래광장","2025-05-19 16:28:27","U","2024-12-04 22:01:00.0","비어(바)살롱","211266.478731637","448675.520340362","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-2011-00005","2011-03-03","","01","영업/정상","01","영업","","","","","02   4743384","88.09","134-814","서울특별시 강동구 길동 413-13","서울특별시 강동구 진황도로 103 (길동)","05353","체르니","2025-05-15 11:50:16","U","2024-12-04 23:07:00.0","룸살롱","212117.206942934","448171.400384865","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-102-1987-02498","1987-01-16","","03","폐업","02","폐업","2025-05-15","","","","0222854500","447.74","100-195","서울특별시 중구 을지로5가 133-1","서울특별시 중구 을지로38길 20 (을지로5가)","04561","소피아","2025-05-15 15:41:01","U","2024-12-04 23:07:00.0","룸살롱","200225.983119633","451511.262755282","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-102-2011-00008","2011-05-19","","01","영업/정상","01","영업","","","","","","44.68","110-850","서울특별시 종로구 효제동 185 (지상1층)","서울특별시 종로구 대학로2길 41 (효제동,(지상1층))","03126","서편제","2025-05-20 17:19:45","U","2024-12-04 22:02:00.0","요정","200322.875575392","452140.24340281","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2015-00003","2015-07-31","","01","영업/정상","01","영업","","","","","","817.77","135-932","서울특별시 강남구 역삼동 819-9 ","서울특별시 강남구 강남대로92길 13, 지하1.2층 (역삼동)","06134","Alvin Avenue(엘빈 에비뉴)","2023-01-18 15:28:58","U","2023-01-20 02:40:00.0","기타","202451.742958279    ","444092.87549641     ","기타","0","0","","","","0","0","0","0","0","","0","0","Y","817.77","","",""
"3200000","3200000-102-2000-10106","2000-02-03","","01","영업/정상","01","영업","","","","","","73.08","151-892","서울특별시 관악구 신림동 1432-77","서울특별시 관악구 신림로 355 (신림동)","08760","자몽노래크럽","2025-05-20 13:04:47","U","2024-12-04 22:02:00.0","룸살롱","193668.136887283","442651.560541445","","","","","","","","","","","","","","","","","","",""
"3080000","3080000-102-2024-00004","2024-11-19","","01","영업/정상","01","영업","","","","","","99.11","142-867","서울특별시 강북구 번동 446-24 홍승빌딩","서울특별시 강북구 도봉로 332, 홍승빌딩 지하1층 (번동)","01062","윈","2025-05-21 10:07:30","U","2024-12-04 22:03:00.0","기타","202177.749276678","459450.650983826","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-102-2010-00007","2010-10-08","","01","영업/정상","01","영업","","","","","02  877 9705","58.06","151-890","서울특별시 관악구 신림동 1424-11","서울특별시 관악구 신림로 356, 3층 2호 (신림동)","08754","세븐노래","2025-05-21 14:46:38","U","2024-12-04 22:03:00.0","룸살롱","193715.720946633","442661.600592493","","","","","","","","","","","","","","","","","","",""
"3090000","3090000-102-2007-00004","2007-12-20","","01","영업/정상","01","영업","","","","","02  991 1808","93.75","132-898","서울특별시 도봉구 창동 13","서울특별시 도봉구 마들로11길 65, 지하1층 1호 (창동, 유진빌딩)","01414","아레나","2025-05-21 15:06:43","U","2024-12-04 22:03:00.0","룸살롱","204317.264907404","461224.014056627","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-102-2016-00001","2016-06-27","","01","영업/정상","01","영업","","","","","","61.20","138-805","서울특별시 송파구 가락동 98-7 지하1층 106-1","서울특별시 송파구 송파대로28길 13 (가락동, 지하1층 106-1호)","05719","럭셔리노래바","2025-05-22 09:10:58","U","2024-12-04 22:04:00.0","룸살롱","210491.321883503","443569.763243482","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-102-2001-08243","2001-06-15","","01","영업/정상","01","영업","","","","","","99.10","156-800","서울특별시 동작구 노량진동 29-6","서울특별시 동작구 노량진로 86-1, 지하층 (노량진동)","06927","세시봉7080","2025-05-22 15:28:31","U","2024-12-04 22:04:00.0","룸살롱","194227.077789597","445643.721249205","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2015-00004","2015-08-03","","01","영업/정상","01","영업","","","","","","173.24","135-821","서울특별시 강남구 논현동 115-12번지 지하1층 ","서울특별시 강남구 언주로 706, 지하1층 (논현동)","06061","랩(LAB)","2020-05-25 12:32:18","U","2020-05-27 02:40:00.0","룸살롱","203085.675300594    ","445978.559854528    ","룸살롱","","","기타","","상수도전용","","","","","","","","","N","173.24","","",""
"3220000","3220000-102-2015-00006","2015-12-02","","01","영업/정상","01","영업","","","","","02  518 0444","286.58","135-897","서울특별시 강남구 신사동 652-14 지하1층","서울특별시 강남구 도산대로 331, 지하1층 (신사동)","06019","아이디","2025-04-28 13:11:41","U","2024-12-03 21:00:00.0","룸살롱","203300.715916038","446789.650787302","","","","","","","","","","","","","","","","","","",""
"3000000","3000000-102-1984-11439","1984-09-08","","01","영업/정상","01","영업","","","","","","67.75","110-320","서울특별시 종로구 낙원동 179 (지하1층) ","서울특별시 종로구 수표로22길 2 (낙원동,(지하1층))","03139","화화","2023-01-13 10:59:15","U","2023-01-15 02:40:00.0","스텐드바","199006.837233012    ","452085.964430524    ","스텐드바","0","0","기타","갑","상수도전용","0","0","0","0","0","","0","0","Y","67.75","","",""
"3000000","3000000-102-1985-08261","1985-01-22","","01","영업/정상","01","영업","","","","","02 7423076","112.60","110-320","서울특별시 종로구 낙원동 93번지 ","서울특별시 종로구 수표로 134 (낙원동)","03133","허리우드","2020-04-07 12:43:32","U","2020-04-09 02:40:00.0","스텐드바","198921.316372634    ","452310.256279189    ","스텐드바","2","3","기타","갑","상수도전용","","","","","","","","","N","112.6","","",""
"3000000","3000000-102-1999-10266","1999-04-23","","01","영업/정상","01","영업","","","","","0222699119","31.20","110-836","서울특별시 종로구 종로5가 231-16번지 ","서울특별시 종로구 종로36가길 6 (종로5가)","03197","자몽","2019-03-21 10:25:14","U","2019-03-23 02:40:00.0","룸살롱","200299.39890015     ","452034.832060594    ","룸살롱","0","0","기타","기타","상수도전용","","","","","","","","","N","31.2","","",""
"3000000","3000000-102-1999-10220","1999-05-14","","01","영업/정상","01","영업","","","","","0222521244","","110-825","서울특별시 종로구 숭인동 201-25번지 (지하1층) ","서울특별시 종로구 난계로29길 43 (숭인동,(지하1층))","03115","지중해","2013-06-04 14:43:03","I","2018-08-31 23:59:59.0","룸살롱","201778.696535379    ","452392.642161476    ","룸살롱","","","","","","","","","","","","","","N","97.97","","",""
"3000000","3000000-102-1975-08233","1975-01-14","","01","영업/정상","01","영업","","","","","02 7207333","","110-111","서울특별시 종로구 관철동 43-12번지 ","서울특별시 종로구 종로8길 21 (관철동)","03189","보신각","2013-05-31 16:14:37","I","2018-08-31 23:59:59.0","고고(디스코)클럽","198527.750150961    ","451865.126432449    ","고고(디스코)클럽","4","2","기타","갑","상수도전용","","","","","","","","","N","157.64","","",""
"3000000","3000000-102-1975-08329","1975-08-13","","01","영업/정상","01","영업","","","","","02 7330816","","110-290","서울특별시 종로구 인사동 35-0번지 ","","","호림","2002-12-03 00:00:00","I","2018-08-31 23:59:59.0","요정","198786.580189405    ","452227.065338305    ","요정","4","6","유흥업소밀집지역","갑","상수도전용","","","","","","","","","N","145.7","","",""
"3240000","3240000-102-1999-11037","1999-11-03","","03","폐업","02","폐업","2010-09-01","","","","02 4844155","54.92","134-814","서울특별시 강동구 길동 415-16번지 ","","","러쉬","2008-12-03 10:09:53","I","2018-08-31 23:59:59.0","룸살롱","211990.349438187    ","448244.56352914     ","룸살롱","","","","","","","","","","","","","","N","54.92","","",""
"3000000","3000000-102-2013-00005","2013-06-07","","01","영업/정상","01","영업","","","","","","","110-826","서울특별시 종로구 숭인동 207-30번지 지하1층 ","서울특별시 종로구 난계로29길 61, 지하1층 (숭인동)","03115","앵콜 노래왕","2014-12-23 15:53:24","I","2018-08-31 23:59:59.0","룸살롱","201684.94301241     ","452360.671366747    ","룸살롱","","","학교정화(상대)","","상수도전용","","","","","","","","","N","130.14","","",""
"3000000","3000000-102-2013-00006","2013-07-25","","01","영업/정상","01","영업","","","","","","","110-470","서울특별시 종로구 연지동 275-1번지 ","서울특별시 종로구 대학로1길 10, 지하1층 (연지동)","03129","일번지 노래카페","2013-10-04 14:41:05","I","2018-08-31 23:59:59.0","룸살롱","200056.510139475    ","452135.101134699    ","룸살롱","","","학교정화(상대)","","상수도전용","","","","","","","","","Y","92.19","","",""
"3000000","3000000-102-2014-00001","2014-04-21","","01","영업/정상","01","영업","","","","","","17.11","110-851","서울특별시 종로구 효제동 245-21번지 지상1층 ","서울특별시 종로구 대학로2길 19, 지상1층 (효제동)","03126","불새","2020-03-10 10:18:15","U","2020-03-12 02:40:00.0","요정","200203.247294827    ","452144.972262611    ","요정","","","","","","","","","","","","","","N","17.11","","",""
"3000000","3000000-102-1985-08282","1985-08-28","","01","영업/정상","01","영업","","","","","0207324842","","110-170","서울특별시 종로구 견지동 110-13번지 ","","","야시","2001-11-20 00:00:00","I","2018-08-31 23:59:59.0","비어(바)살롱","","","비어(바)살롱","2","2","기타","갑","상수도전용","","","","","","","","","N","78.76","","",""
"3000000","3000000-102-1989-08279","1989-10-27","","01","영업/정상","01","영업","","","","","02  720 2951","90.80","110-111","서울특별시 종로구 관철동 44-3 ","서울특별시 종로구 종로8길 16 (관철동)","03189","더 찬스","2022-07-26 17:30:57","U","2022-07-28 02:40:00.0","룸살롱","198504.402368702    ","451896.95555963     ","룸살롱","","","","","","","","","","","","","","N","90.8","","",""
"3000000","3000000-102-2014-00002","2014-06-19","","01","영업/정상","01","영업","","","","","02  743 4882","","110-850","서울특별시 종로구 효제동 155번지 지하1층 ","서울특별시 종로구 종로35길 34, 지하1층 (효제동)","03126","최고","2014-06-19 14:36:49","I","2018-08-31 23:59:59.0","룸살롱","200279.457604439    ","452261.387624027    ","룸살롱","","","학교정화(상대)","","상수도전용","","","","","","","","","N","105","","",""
"3000000","3000000-102-2014-00003","2014-07-01","","01","영업/정상","01","영업","","","","","02  764 5528","","110-840","서울특별시 종로구 창신동 174-1번지 지상2층 ","서울특별시 종로구 종로 321-2, 지상2층 (창신동)","03105","스케치 7080 노래주점","2014-07-01 11:20:13","I","2018-08-31 23:59:59.0","간이주점","201114.051399661    ","452258.921784983    ","간이주점","","","기타","기타","상수도전용","","","","","","","","","Y","99","","",""
"3000000","3000000-102-2014-00004","2014-07-16","","01","영업/정상","01","영업","","","","","","168.30","110-807","서울특별시 종로구 돈의동 50 지하1층 ","서울특별시 종로구 돈화문로11길 10, 지하1층 (돈의동)","03133","반반2","2023-03-22 14:11:19","U","2023-03-24 02:40:00.0","기타","199121.552856042    ","452271.904541876    ","기타","0","0","","","","0","0","0","0","0","","0","0","N","168.3","","",""
"3000000","3000000-102-2014-00005","2014-11-25","","01","영업/정상","01","영업","","","","","","","110-470","서울특별시 종로구 연지동 255번지 지하1층 ","서울특별시 종로구 대학로1길 42, 지하1층 (연지동)","03129","야구장","2017-01-02 17:42:13","I","2018-08-31 23:59:59.0","룸살롱","199926.134449712    ","452184.823377297    ","룸살롱","","","학교정화(상대)","기타","상수도전용","","","","","","","","","Y","113.98","","",""
